name,city,cuisines,cost,rating
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",400.0,3.1
Jcubez,Banashankari,Finger Food,1300.0,3.8
Old Mumbai Ice Cream,Banashankari,Ice Cream,150.0,4.0
Kidambi's Kitchen,Banashankari,South Indian,300.0,3.5
Udupi Upachar,Banashankari,"South Indian, North Indian",500.0,3.3
Atithi Point Ande Ka Funda,Banashankari,North Indian,150.0,3.1
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",400.0,2.8
Juicy Momos,Banashankari,"Tibetan, Momos",250.0,3.5
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",700.0,3.8
Yo Roll Corner,Banashankari,"Street Food, Rolls",200.0,3.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",700.0,3.8
Aramane Donne Biryani,Banashankari,Biryani,200.0,3.1
Hide Out Cafe,Banashankari,Cafe,300.0,3.7
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",450.0,3.0
Kaggis,Banashankari,"Fast Food, Bakery",250.0,3.8
Kavali,Banashankari,"South Indian, Street Food",300.0,4.0
Messy Bowl,Banashankari,"Fast Food, Beverages",500.0,3.8
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",700.0,3.8
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",350.0,3.5
Aramane Donne Biryani,Banashankari,Biryani,200.0,3.1
Petoo,Banashankari,North Indian,450.0,3.7
Madhappa Hindu Military Hotel,Banashankari,South Indian,300.0,3.4
Coffee Tindi,Banashankari,"Cafe, South Indian",200.0,3.8
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",700.0,4.0
Kababs N Biryani,Banashankari,South Indian,200.0,3.4
Grand Food,Banashankari,"South Indian, Bakery, Chinese",250.0,3.4
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",400.0,3.7
CAFE NOVA,Banashankari,"Cafe, Bakery",600.0,3.2
Cafe Vivacity,Banashankari,Cafe,650.0,3.8
Vegetalia,Banashankari,"Italian, Pizza",400.0,3.7
Sweet N Swirl,Banashankari,"Desserts, Ice Cream",150.0,3.2
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0,3.4
Bhattara Bhojana,Banashankari,South Indian,150.0,3.6
Stoned Monkey,Banashankari,"Desserts, Ice Cream",500.0,4.3
Darbar,Banashankari,"North Indian, Chinese",800.0,3.0
Sweet Truth,Banashankari,"Bakery, Desserts",500.0,3.9
Foodizo,Banashankari,"Desserts, Fast Food, Continental",300.0,3.6
Sri Venkateshwara Chat Centre,Banashankari,Street Food,100.0,3.5
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",400.0,3.8
Blue Wings Bar & Restaurant,Banashankari,"North Indian, Chinese",700.0,3.7
Maruthi Davangere Benne Dosa,Banashankari,South Indian,150.0,4.0
Vaishali Deluxe,Banashankari,"North Indian, Chinese",700.0,3.8
Vinay Bhel Corner,Banashankari,Street Food,100.0,3.4
CAFE NOVA,Banashankari,"Cafe, Bakery",600.0,3.2
Maruthi Davangere Benne Dosa,Banashankari,South Indian,150.0,4.0
Chickpet Donne Biryani House,Banashankari,Biryani,250.0,3.7
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750.0,3.9
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",250.0,3.6
Caf-Eleven,Banashankari,"Cafe, Continental",450.0,4.0
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",700.0,4.0
Thanco's Natural Ice Creams,Banashankari,Ice Cream,300.0,3.2
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",300.0,3.8
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750.0,3.9
Ibaco,Banashankari,Desserts,300.0,3.9
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",800.0,3.8
Mini Punjabi Dhaba,Banashankari,North Indian,350.0,4.2
Cakes & Slices,Banashankari,"Bakery, Desserts",300.0,3.5
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",700.0,2.9
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",250.0,3.8
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",300.0,3.8
Messy Bowl,Banashankari,"Fast Food, Beverages",500.0,3.5
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",400.0,3.1
Kaggis,Banashankari,"Fast Food, Bakery",250.0,3.8
The Big O Bakes,Banashankari,"Bakery, Desserts",300.0,4.0
Utsav Restaurant,Banashankari,"North Indian, Chinese",300.0,3.8
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",300.0,3.8
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,3.0
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0,3.4
